devontown,agenew,count(borrower)
Bideford/Northam,23,121
Bideford/Northam,24,148
Bideford/Northam,25,155
Bideford/Northam,26,184
Bideford/Northam,27,153
Bideford/Northam,28,256
Bideford/Northam,29,172
Bideford/Northam,3,156
Bideford/Northam,30,145
Bideford/Northam,31,147
Bideford/Northam,32,138
Bideford/Northam,33,127
Bideford/Northam,34,112
Bideford/Northam,35,141
Bideford/Northam,36,145
Bideford/Northam,37,158
Bideford/Northam,38,141
Bideford/Northam,39,162
Bideford/Northam,4,222
Bideford/Northam,40,163
Bideford/Northam,41,134
Bideford/Northam,42,151
Bideford/Northam,43,127
Bideford/Northam,44,131
Bideford/Northam,45,145
Bideford/Northam,46,136
Bideford/Northam,47,123
Bideford/Northam,48,132
Bideford/Northam,49,115
Bideford/Northam,5,226
Bideford/Northam,50,134
Bideford/Northam,51,103
Bideford/Northam,52,121
Bideford/Northam,53,141
Bideford/Northam,54,128
Bideford/Northam,55,118
Bideford/Northam,56,132
Bideford/Northam,57,106
Bideford/Northam,58,109
Bideford/Northam,59,101
Bideford/Northam,6,245
Bideford/Northam,60,126
Bideford/Northam,61,116
Bideford/Northam,62,124
Bideford/Northam,63,142
Bideford/Northam,64,142
Bideford/Northam,65,157
Bideford/Northam,66,194
Bideford/Northam,67,178
Bideford/Northam,68,140
Bideford/Northam,69,190
Bideford/Northam,7,251
Bideford/Northam,70,169
Bideford/Northam,71,129
Bideford/Northam,72,116
Bideford/Northam,73,107
Bideford/Northam,74,110
Bideford/Northam,75,80
Bideford/Northam,76,71
Bideford/Northam,77,67
Bideford/Northam,78,60
Bideford/Northam,79,71
Bideford/Northam,8,281
Bideford/Northam,80,51
Bideford/Northam,81,63
Bideford/Northam,82,37
Bideford/Northam,83,38
Bideford/Northam,84,47
Bideford/Northam,85,39
Bideford/Northam,86,32
Bideford/Northam,87,25
Bideford/Northam,88,16
Bideford/Northam,89,15
Bideford/Northam,9,248
Bideford/Northam,90,15
Bideford/Northam,91,14
Bideford/Northam,92,7
Bideford/Northam,93,3
Bideford/Northam,94,7
Bideford/Northam,95,5
Bideford/Northam,96,4
Bideford/Northam,97,3
Bideford/Northam,98,1
Bideford/Northam,99,1
Braunton,,493
Braunton,0,4
Braunton,1,23
Braunton,10,118
Braunton,11,105
Braunton,115,2
Braunton,116,2
Braunton,12,102
Braunton,13,92
Braunton,14,67
Braunton,15,61
Braunton,16,46
Braunton,17,59
Braunton,18,52
Braunton,19,41
Braunton,2,52
Braunton,20,45
Braunton,21,40
Braunton,22,48
Braunton,23,48
Braunton,24,41
Braunton,25,34
Braunton,26,38
Braunton,27,45
