name,agenew,count(borrower)
BARNSTAPLE,73,192
BARNSTAPLE,74,188
BARNSTAPLE,75,127
BARNSTAPLE,76,112
BARNSTAPLE,77,121
BARNSTAPLE,78,103
BARNSTAPLE,79,114
BARNSTAPLE,8,392
BARNSTAPLE,80,97
BARNSTAPLE,81,84
BARNSTAPLE,82,78
BARNSTAPLE,83,58
BARNSTAPLE,84,59
BARNSTAPLE,85,52
BARNSTAPLE,86,49
BARNSTAPLE,87,36
BARNSTAPLE,88,29
BARNSTAPLE,89,23
BARNSTAPLE,9,416
BARNSTAPLE,90,26
BARNSTAPLE,91,23
BARNSTAPLE,92,9
BARNSTAPLE,93,7
BARNSTAPLE,94,9
BARNSTAPLE,95,10
BARNSTAPLE,96,11
BARNSTAPLE,97,3
BARNSTAPLE,98,1
BARNSTAPLE,99,1
BIDEFORD,,661
BIDEFORD,0,3
BIDEFORD,1,51
BIDEFORD,10,164
BIDEFORD,100,2
BIDEFORD,11,198
BIDEFORD,113,1
BIDEFORD,116,5
BIDEFORD,12,161
BIDEFORD,13,153
BIDEFORD,14,138
BIDEFORD,15,101
BIDEFORD,16,92
BIDEFORD,17,106
BIDEFORD,18,93
BIDEFORD,19,106
BIDEFORD,2,66
BIDEFORD,20,113
BIDEFORD,21,99
BIDEFORD,22,117
BIDEFORD,23,85
BIDEFORD,24,108
BIDEFORD,25,114
BIDEFORD,26,118
BIDEFORD,27,110
BIDEFORD,28,181
BIDEFORD,29,130
BIDEFORD,3,106
BIDEFORD,30,99
BIDEFORD,31,104
BIDEFORD,32,105
BIDEFORD,33,81
BIDEFORD,34,75
BIDEFORD,35,97
BIDEFORD,36,113
BIDEFORD,37,124
BIDEFORD,38,96
BIDEFORD,39,102
BIDEFORD,4,156
BIDEFORD,40,116
BIDEFORD,41,104
BIDEFORD,42,104
BIDEFORD,43,87
BIDEFORD,44,92
BIDEFORD,45,100
BIDEFORD,46,86
BIDEFORD,47,87
BIDEFORD,48,92
BIDEFORD,49,79
BIDEFORD,5,144
BIDEFORD,50,88
BIDEFORD,51,71
BIDEFORD,52,93
BIDEFORD,53,96
BIDEFORD,54,71
BIDEFORD,55,76
BIDEFORD,56,87
BIDEFORD,57,66
BIDEFORD,58,83
BIDEFORD,59,75
BIDEFORD,6,173
BIDEFORD,60,88
BIDEFORD,61,83
BIDEFORD,62,70
BIDEFORD,63,89
BIDEFORD,64,70
BIDEFORD,65,93
BIDEFORD,66,129
BIDEFORD,67,91
BIDEFORD,68,90
BIDEFORD,69,117
BIDEFORD,7,178
BIDEFORD,70,96
BIDEFORD,71,65
BIDEFORD,72,60
BIDEFORD,73,53
BIDEFORD,74,52
BIDEFORD,75,45
BIDEFORD,76,33
BIDEFORD,77,40
BIDEFORD,78,41
BIDEFORD,79,30
BIDEFORD,8,191
BIDEFORD,80,26
BIDEFORD,81,36
BIDEFORD,82,18
BIDEFORD,83,21
BIDEFORD,84,20
BIDEFORD,85,21
BIDEFORD,86,12
BIDEFORD,87,14
BIDEFORD,88,2
BIDEFORD,89,10
BIDEFORD,9,169
BIDEFORD,90,9
BIDEFORD,91,6
BIDEFORD,92,4
BIDEFORD,93,3
BIDEFORD,94,4
BIDEFORD,95,4
BIDEFORD,96,3
BIDEFORD,97,2
BIDEFORD,99,1
BOVEY TRACEY,,372
BOVEY TRACEY,0,4
BOVEY TRACEY,1,14
BOVEY TRACEY,10,65
BOVEY TRACEY,11,69
BOVEY TRACEY,12,71
BOVEY TRACEY,13,51
BOVEY TRACEY,14,33
BOVEY TRACEY,15,35
BOVEY TRACEY,16,24
BOVEY TRACEY,17,36
BOVEY TRACEY,18,20
BOVEY TRACEY,19,17
BOVEY TRACEY,2,7
BOVEY TRACEY,20,19
BOVEY TRACEY,21,18
BOVEY TRACEY,22,23
BOVEY TRACEY,23,16
BOVEY TRACEY,24,12
BOVEY TRACEY,25,13
BOVEY TRACEY,26,13
BOVEY TRACEY,27,14
BOVEY TRACEY,28,21
BOVEY TRACEY,29,11
BOVEY TRACEY,3,31
BOVEY TRACEY,30,13
BOVEY TRACEY,31,21
BOVEY TRACEY,32,25
BOVEY TRACEY,33,14
BOVEY TRACEY,34,9
BOVEY TRACEY,35,25
BOVEY TRACEY,36,23
BOVEY TRACEY,37,25
BOVEY TRACEY,38,25
BOVEY TRACEY,39,31
BOVEY TRACEY,4,43
BOVEY TRACEY,40,19
BOVEY TRACEY,41,30
BOVEY TRACEY,42,27
BOVEY TRACEY,43,34
BOVEY TRACEY,44,32
BOVEY TRACEY,45,20
BOVEY TRACEY,46,35
BOVEY TRACEY,47,24
BOVEY TRACEY,48,21
BOVEY TRACEY,49,21
BOVEY TRACEY,5,35
BOVEY TRACEY,50,24
BOVEY TRACEY,51,26
BOVEY TRACEY,52,22
BOVEY TRACEY,53,18
BOVEY TRACEY,54,21
BOVEY TRACEY,55,16
BOVEY TRACEY,56,18
BOVEY TRACEY,57,18
BOVEY TRACEY,58,15
BOVEY TRACEY,59,18
BOVEY TRACEY,6,45
BOVEY TRACEY,60,20
BOVEY TRACEY,61,22
BOVEY TRACEY,62,15
BOVEY TRACEY,63,27
BOVEY TRACEY,64,31
BOVEY TRACEY,65,24
BOVEY TRACEY,66,28
BOVEY TRACEY,67,32
BOVEY TRACEY,68,35
BOVEY TRACEY,69,38
BOVEY TRACEY,7,54
BOVEY TRACEY,70,35
BOVEY TRACEY,71,28
BOVEY TRACEY,72,28
BOVEY TRACEY,73,27
BOVEY TRACEY,74,34
BOVEY TRACEY,75,18
BOVEY TRACEY,76,16
BOVEY TRACEY,77,19
BOVEY TRACEY,78,17
BOVEY TRACEY,79,19
BOVEY TRACEY,8,61
BOVEY TRACEY,80,20
BOVEY TRACEY,81,13
BOVEY TRACEY,82,12
BOVEY TRACEY,83,13
BOVEY TRACEY,84,10
BOVEY TRACEY,85,14
BOVEY TRACEY,86,17
BOVEY TRACEY,87,10
BOVEY TRACEY,88,14
BOVEY TRACEY,89,5
BOVEY TRACEY,9,62
BOVEY TRACEY,90,4
BOVEY TRACEY,91,6
BOVEY TRACEY,92,4
BOVEY TRACEY,93,4
BOVEY TRACEY,94,5
BOVEY TRACEY,95,1
BOVEY TRACEY,96,4
BOVEY TRACEY,97,1
BOVEY TRACEY,98,1
BRAUNTON,,403
BRAUNTON,0,3
BRAUNTON,1,14
BRAUNTON,10,109
BRAUNTON,11,95
BRAUNTON,114,1
BRAUNTON,115,3
BRAUNTON,116,1
BRAUNTON,12,95
BRAUNTON,13,82
BRAUNTON,14,59
BRAUNTON,15,55
BRAUNTON,16,46
BRAUNTON,17,50
BRAUNTON,18,40
BRAUNTON,19,40
BRAUNTON,2,33
BRAUNTON,20,38
BRAUNTON,21,26
BRAUNTON,22,26
BRAUNTON,23,29
BRAUNTON,24,24
BRAUNTON,25,21
BRAUNTON,26,20
BRAUNTON,27,19
BRAUNTON,28,33
BRAUNTON,29,18
BRAUNTON,3,64
BRAUNTON,30,40
BRAUNTON,31,39
BRAUNTON,32,33
BRAUNTON,33,31
BRAUNTON,34,37
BRAUNTON,35,41
BRAUNTON,36,50
BRAUNTON,37,46
BRAUNTON,38,56
BRAUNTON,39,55
BRAUNTON,4,59
BRAUNTON,40,55
BRAUNTON,41,50
BRAUNTON,42,64
BRAUNTON,43,54
BRAUNTON,44,58
BRAUNTON,45,56
BRAUNTON,46,44
BRAUNTON,47,49
BRAUNTON,48,34
BRAUNTON,49,32
BRAUNTON,5,81
BRAUNTON,50,56
BRAUNTON,51,29
BRAUNTON,52,25
BRAUNTON,53,39
BRAUNTON,54,21
BRAUNTON,55,29
BRAUNTON,56,26
BRAUNTON,57,30
BRAUNTON,58,24
BRAUNTON,59,33
BRAUNTON,6,111
BRAUNTON,60,23
BRAUNTON,61,19
BRAUNTON,62,21
BRAUNTON,63,25
BRAUNTON,64,25
BRAUNTON,65,30
BRAUNTON,66,37
BRAUNTON,67,31
BRAUNTON,68,46
BRAUNTON,69,41
BRAUNTON,7,115
BRAUNTON,70,41
BRAUNTON,71,28
BRAUNTON,72,43
BRAUNTON,73,39
BRAUNTON,74,26
BRAUNTON,75,21
BRAUNTON,76,34
BRAUNTON,77,28
BRAUNTON,78,34
BRAUNTON,79,23
BRAUNTON,8,120
BRAUNTON,80,19
BRAUNTON,81,18
BRAUNTON,82,25
BRAUNTON,83,13
BRAUNTON,84,13
BRAUNTON,85,17
BRAUNTON,86,24
BRAUNTON,87,5
BRAUNTON,88,3
BRAUNTON,89,9
BRAUNTON,9,106
BRAUNTON,90,11
BRAUNTON,91,6
BRAUNTON,92,1
BRAUNTON,93,3
BRAUNTON,94,1
BRAUNTON,95,1
BRAUNTON,96,2
BUCKFASTLEIGH,,84
BUCKFASTLEIGH,0,4
BUCKFASTLEIGH,1,6
BUCKFASTLEIGH,10,21
BUCKFASTLEIGH,11,47
BUCKFASTLEIGH,112,1
BUCKFASTLEIGH,12,36
BUCKFASTLEIGH,13,34
BUCKFASTLEIGH,14,30
BUCKFASTLEIGH,15,31
BUCKFASTLEIGH,16,34
BUCKFASTLEIGH,17,18
BUCKFASTLEIGH,18,17
BUCKFASTLEIGH,19,11
BUCKFASTLEIGH,2,11
BUCKFASTLEIGH,20,14
BUCKFASTLEIGH,21,9
BUCKFASTLEIGH,22,13
BUCKFASTLEIGH,23,13
BUCKFASTLEIGH,24,12
BUCKFASTLEIGH,25,9
BUCKFASTLEIGH,26,9
BUCKFASTLEIGH,27,8
BUCKFASTLEIGH,28,22
BUCKFASTLEIGH,29,16
BUCKFASTLEIGH,3,14
BUCKFASTLEIGH,30,16
BUCKFASTLEIGH,31,10
BUCKFASTLEIGH,32,17
BUCKFASTLEIGH,33,18
BUCKFASTLEIGH,34,12
BUCKFASTLEIGH,35,13
BUCKFASTLEIGH,36,12
BUCKFASTLEIGH,37,21
BUCKFASTLEIGH,38,14
BUCKFASTLEIGH,39,11
BUCKFASTLEIGH,4,31
BUCKFASTLEIGH,40,14
BUCKFASTLEIGH,41,17
BUCKFASTLEIGH,42,12
BUCKFASTLEIGH,43,22
BUCKFASTLEIGH,44,23
BUCKFASTLEIGH,45,12
BUCKFASTLEIGH,46,13
BUCKFASTLEIGH,47,20
BUCKFASTLEIGH,48,17
BUCKFASTLEIGH,49,20
BUCKFASTLEIGH,5,24
BUCKFASTLEIGH,50,12
BUCKFASTLEIGH,51,18
BUCKFASTLEIGH,52,15
BUCKFASTLEIGH,53,18
BUCKFASTLEIGH,54,12
BUCKFASTLEIGH,55,16
BUCKFASTLEIGH,56,10
BUCKFASTLEIGH,57,10
BUCKFASTLEIGH,58,12
BUCKFASTLEIGH,59,8
BUCKFASTLEIGH,6,19
BUCKFASTLEIGH,60,8
BUCKFASTLEIGH,61,11
BUCKFASTLEIGH,62,8
BUCKFASTLEIGH,63,16
BUCKFASTLEIGH,64,11
BUCKFASTLEIGH,65,13
BUCKFASTLEIGH,66,11
BUCKFASTLEIGH,67,15
BUCKFASTLEIGH,68,13
BUCKFASTLEIGH,69,12
BUCKFASTLEIGH,7,28
BUCKFASTLEIGH,70,15
BUCKFASTLEIGH,71,13
BUCKFASTLEIGH,72,9
BUCKFASTLEIGH,73,8
BUCKFASTLEIGH,74,8
BUCKFASTLEIGH,75,6
BUCKFASTLEIGH,76,4
BUCKFASTLEIGH,77,2
BUCKFASTLEIGH,78,3
BUCKFASTLEIGH,79,1
BUCKFASTLEIGH,8,33
BUCKFASTLEIGH,80,3
BUCKFASTLEIGH,81,5
BUCKFASTLEIGH,82,3
BUCKFASTLEIGH,83,3
BUCKFASTLEIGH,85,1
BUCKFASTLEIGH,86,4
BUCKFASTLEIGH,88,1
BUCKFASTLEIGH,9,29
BUCKFASTLEIGH,90,1
BUCKFASTLEIGH,91,1
BUCKFASTLEIGH,92,1
BUCKFASTLEIGH,95,1
BUCKFASTLEIGH,98,1
BUDLEIGH SALTERTON,,1125
BUDLEIGH SALTERTON,0,5
BUDLEIGH SALTERTON,1,9
BUDLEIGH SALTERTON,10,71
BUDLEIGH SALTERTON,106,1
BUDLEIGH SALTERTON,11,51
BUDLEIGH SALTERTON,115,1
BUDLEIGH SALTERTON,116,1
BUDLEIGH SALTERTON,12,56
BUDLEIGH SALTERTON,13,55
BUDLEIGH SALTERTON,14,34
BUDLEIGH SALTERTON,15,38
BUDLEIGH SALTERTON,16,38
BUDLEIGH SALTERTON,17,33
BUDLEIGH SALTERTON,18,34
BUDLEIGH SALTERTON,19,28
BUDLEIGH SALTERTON,2,27
BUDLEIGH SALTERTON,20,32
BUDLEIGH SALTERTON,21,26
BUDLEIGH SALTERTON,22,23
BUDLEIGH SALTERTON,23,20
BUDLEIGH SALTERTON,24,18
BUDLEIGH SALTERTON,25,17
BUDLEIGH SALTERTON,26,14
BUDLEIGH SALTERTON,27,22
BUDLEIGH SALTERTON,28,25
BUDLEIGH SALTERTON,29,20
BUDLEIGH SALTERTON,3,41
BUDLEIGH SALTERTON,30,28
BUDLEIGH SALTERTON,31,18
BUDLEIGH SALTERTON,32,25
BUDLEIGH SALTERTON,33,30
BUDLEIGH SALTERTON,34,23
BUDLEIGH SALTERTON,35,28
BUDLEIGH SALTERTON,36,22
BUDLEIGH SALTERTON,37,37
BUDLEIGH SALTERTON,38,33
BUDLEIGH SALTERTON,39,30
BUDLEIGH SALTERTON,4,50
BUDLEIGH SALTERTON,40,34
BUDLEIGH SALTERTON,41,27
BUDLEIGH SALTERTON,42,37
BUDLEIGH SALTERTON,43,37
BUDLEIGH SALTERTON,44,43
BUDLEIGH SALTERTON,45,39
BUDLEIGH SALTERTON,46,33
BUDLEIGH SALTERTON,47,34
BUDLEIGH SALTERTON,48,35
BUDLEIGH SALTERTON,49,42
BUDLEIGH SALTERTON,5,42
BUDLEIGH SALTERTON,50,35
BUDLEIGH SALTERTON,51,39
BUDLEIGH SALTERTON,52,39
BUDLEIGH SALTERTON,53,34
BUDLEIGH SALTERTON,54,30
BUDLEIGH SALTERTON,55,28
BUDLEIGH SALTERTON,56,36
BUDLEIGH SALTERTON,57,31
BUDLEIGH SALTERTON,58,39
BUDLEIGH SALTERTON,59,33
BUDLEIGH SALTERTON,6,55
BUDLEIGH SALTERTON,60,46
BUDLEIGH SALTERTON,61,36
BUDLEIGH SALTERTON,62,51
BUDLEIGH SALTERTON,63,49
BUDLEIGH SALTERTON,64,64
BUDLEIGH SALTERTON,65,70
BUDLEIGH SALTERTON,66,71
BUDLEIGH SALTERTON,67,54
BUDLEIGH SALTERTON,68,62
BUDLEIGH SALTERTON,69,54
BUDLEIGH SALTERTON,7,64
BUDLEIGH SALTERTON,70,57
BUDLEIGH SALTERTON,71,51
